X,Y,C
41.668696,-87.637113,1
41.684932,-87.645289,2
41.685877,-87.573824,5
41.691211,-87.681297,2
41.691319,-87.712886,2
41.69171,-87.610002,1
41.692395,-87.700961,1
41.69501,-87.598715,1
41.699206,-87.668919,2
41.700121,-87.61226,1
41.702801,-87.559726,1
41.704575,-87.528232,6
41.704587,-87.681203,1
41.70725,-87.607663,2
41.712164,-87.667733,4
41.712749,-87.534814,2
41.713397,-87.565842,2
41.71371,-87.530844,3
41.718963,-87.608296,3
41.719712,-87.64302,1
41.72185,-87.622854,5
41.728234,-87.667524,1
41.733669,-87.558342,1
41.736559,-87.601258,2
41.736646,-87.622634,3
41.736815,-87.582801,2
41.737151,-87.57274,1
41.737336,-87.548515,3
41.743116,-87.6148,3
41.743441,-87.604836,3
41.744123,-87.599034,3
41.744615,-87.551208,1
41.746559,-87.586005,2
41.750794,-87.624424,4
41.75094,-87.61379,2
41.751785,-87.578496,2
41.75182,-87.565211,6
41.756971,-87.624621,3
41.75712,-87.575839,3
41.757871,-87.549386,1
41.758361,-87.614138,2
41.75849,-87.60641,1
41.75867,-87.586883,2
41.758768,-87.56644,2
41.761605,-87.644161,2
41.762189,-87.559275,3
41.766409,-87.565688,7
41.766493,-87.586461,3
41.766638,-87.57645,4
41.768938,-87.652934,1
41.769293,-87.628196,3
41.773518,-87.577143,6
41.773643,-87.567514,3
41.778881,-87.586647,2
41.779374,-87.664843,4
41.779381,-87.644621,1
41.77987,-87.650919,1
41.78008,-87.629746,3
41.780081,-87.615943,4
41.780406,-87.591416,10
41.780601,-87.605836,1
41.780911,-87.576324,11
41.785097,-87.601073,66
41.787943,-87.588315,22
41.788746,-87.601334,26
41.791478,-87.599861,68
41.791568,-87.607852,9
41.791728,-87.583945,68
41.792822,-87.664429,6
41.793242,-87.587782,30
41.794087,-87.675478,4
41.794301,-87.60145,63
41.794853,-87.618691,9
41.794982,-87.633124,1
41.795212,-87.580715,62
41.795264,-87.596471,26
41.796642,-87.625923,4
41.799336,-87.600958,19
41.799494,-87.58645,39
41.799568,-87.594747,55
41.801832,-87.645214,2
41.802295,-87.618054,11
41.802406,-87.586924,25
41.802562,-87.590368,19
41.803038,-87.606615,3
41.805661,-87.683392,2
41.805772,-87.592464,1
41.808134,-87.645617,1
41.808227,-87.67718,2
41.80839,-87.656526,1
41.809443,-87.591875,13
41.809835,-87.599383,15
41.809851,-87.616279,3
41.809855,-87.606755,3
41.814093,-87.597005,5
41.816659,-87.619412,11
41.82168,-87.6216,3
41.822985,-87.6071,13
41.823192,-87.676597,1
41.823465,-87.665577,2
41.8246,-87.61678,6
41.826712,-87.683144,6
41.827059,-87.64572,4
41.828792,-87.680604,2
41.830105,-87.670298,1
41.830661,-87.647172,10
41.830696,-87.655976,5
41.830777,-87.632504,10
41.831036,-87.626798,27
41.831274,-87.608799,36
41.831379,-87.618034,7
41.83453,-87.631823,11
41.834654,-87.641231,8
41.834734,-87.625813,26
41.8349,-87.61793,6
41.836208,-87.613533,12
41.8378,-87.65114,18
41.838198,-87.645143,11
41.838464,-87.635406,7
41.838556,-87.608218,89
41.838842,-87.621857,4
41.839209,-87.66561,6
41.841518,-87.685131,2
41.841633,-87.657435,2
41.841707,-87.626938,10
41.842052,-87.617,18
41.842733,-87.635491,6
41.84358,-87.645368,14
41.844475,-87.702013,3
41.845687,-87.622481,9
41.847203,-87.646795,9
41.8481,-87.715068,1
41.848191,-87.705414,3
41.84847,-87.685109,2
41.84911,-87.69514,6
41.8492,-87.67564,2
41.849527,-87.640591,6
41.850084,-87.632141,14
41.851375,-87.618835,106
41.852619,-87.626488,39
41.853085,-87.631931,92
41.853534,-87.705073,2
41.85378,-87.646603,11
41.853804,-87.695742,3
41.854064,-87.715117,4
41.854109,-87.685838,2
41.854184,-87.619154,67
41.854915,-87.66356,27
41.854967,-87.6757,16
41.855136,-87.654127,10
41.856268,-87.613348,122
41.856594,-87.627542,43
41.856802,-87.633879,22
41.857556,-87.661535,41
41.857611,-87.619407,70
41.857813,-87.62455,59
41.857901,-87.668745,25
41.85795,-87.640826,15
41.858086,-87.651073,16
41.858166,-87.656495,42
41.858371,-87.646388,29
41.860384,-87.625813,40
41.861267,-87.656625,14
41.862378,-87.651062,14
41.864059,-87.623727,82
41.864883,-87.647071,34
41.865054,-87.656959,14
41.865234,-87.666507,13
41.865312,-87.617867,193
41.866095,-87.607267,170
41.866493,-87.706496,2
41.866501,-87.684697,15
41.866624,-87.694521,3
41.867118,-87.641088,53
41.867226,-87.615355,599
41.867227,-87.625961,140
41.867324,-87.648625,34
41.867491,-87.63219,66
41.867888,-87.623041,223
41.868563,-87.686234,14
41.868968,-87.659141,26
41.869265,-87.673731,12
